YearMonth,AWND,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,Crude_Oil_Price,Gasoline_Price,Domestic_Passengers,International_Passengers,Total_Traffic
2014-04-01,8.262,0.0,0.0,0.26,0.0,,61.93333333333333,69.76666666666667,55.5,,102.07,4.257,4230441,1529595,5760036
2014-05-01,8.161290322580646,0.0,0.0,0.0,0.0,,68.03225806451613,76.58064516129032,61.25806451612903,,102.18,4.223,4426610,1654332,6080942
2014-06-01,7.620999999999999,0.0,0.0,0.0,0.0,,66.66666666666667,72.43333333333334,62.766666666666666,,105.79,4.163,4764008,1758221,6522229
2014-07-01,8.045806451612902,0.0,0.0,0.14,0.0,,70.7741935483871,77.0,66.6774193548387,,103.59,4.088,4994632,1875636,6870268
2014-08-01,7.728387096774193,0.0,0.0,0.03,0.0,,70.25806451612904,76.64516129032258,65.83870967741936,,96.54,3.895,4835813,1881827,6717640
2014-09-01,7.218,0.0,0.0,0.02,0.0,,71.93333333333334,78.86666666666666,67.1,,93.21,3.755,4035850,1537647,5573497
2014-10-01,5.888064516129032,0.0,0.0,0.24,0.0,,69.06451612903226,77.19354838709677,62.74193548387097,,84.4,3.56,4321305,1544581,5865886
2014-11-01,5.8533333333333335,0.0,0.0,0.42,0.0,,64.56666666666666,73.6,56.266666666666666,,75.79,3.209,3969051,1411394,5380445
2014-12-01,5.642903225806452,0.0,0.0,4.04,0.0,,58.25806451612903,64.90322580645162,51.45161290322581,,59.29,2.9,4339239,1582571,5921810
2015-01-01,4.365161290322581,0.0,0.0,1.25,0.0,,59.2258064516129,68.7741935483871,50.87096774193548,,47.22,2.578,3928815,1593241,5522056
2015-02-01,6.071785714285714,0.0,0.0,0.27,0.0,,60.35714285714285,68.71428571428571,53.35714285714285,,50.58,2.772,3662062,1349731,5011793
2015-03-01,6.263870967741935,0.0,0.0,0.49,0.0,,63.67741935483871,73.25806451612904,55.70967741935484,,47.82,3.406,4520558,1600951,6121509
2015-04-01,8.128,0.0,0.0,0.11,0.0,,61.7,69.63333333333334,54.833333333333336,,54.45,3.282,4345205,1593110,5938315
2015-05-01,8.341612903225805,0.0,0.0,0.43,0.0,,60.32258064516129,66.2258064516129,55.83870967741935,,59.27,3.894,4622356,1741679,6364035
2015-06-01,7.606,0.0,0.0,0.01,0.0,,65.16666666666667,71.56666666666666,61.06666666666667,,59.82,3.665,4903331,1887034,6790365
2015-07-01,8.075161290322582,0.0,0.0,0.35,0.0,,69.25806451612904,75.38709677419355,65.2258064516129,,50.9,4.062,5179541,2095978,7275519
2015-08-01,7.323870967741935,0.0,0.0,0.0,0.0,,71.70967741935483,78.35483870967742,67.19354838709677,,42.87,3.764,5024078,2085096,7109174
2015-09-01,6.525333333333333,0.0,0.0,1.81,0.0,,74.16666666666667,81.2,69.0,,45.48,3.268,4283400,1743221,6026621
2015-10-01,6.862580645161291,0.0,0.0,0.1,0.0,,73.2258064516129,81.2258064516129,66.7741935483871,,46.22,2.992,4630920,1744132,6375052
2015-11-01,7.031333333333333,0.0,0.0,0.06,0.0,,62.333333333333336,72.06666666666666,52.36666666666667,,42.44,2.847,4460161,1566739,6026900
2015-12-01,7.0280645161290325,0.0,0.0,1.08,0.0,,57.32258064516129,66.06451612903226,48.58064516129032,,37.19,2.865,4655803,1739163,6394966
2016-01-01,6.047096774193549,0.0,0.0,2.94,0.0,,57.096774193548384,64.03225806451613,49.903225806451616,,31.68,2.972,4296107,1772602,6068709
2016-02-01,5.460689655172414,0.0,0.0,0.73,0.0,,62.41379310344828,73.41379310344827,52.62068965517241,,30.32,2.561,3960341,1506530,5466871
2016-03-01,8.43483870967742,0.0,0.0,1.4600000000000002,0.0,,60.12903225806452,67.06451612903226,53.903225806451616,,37.55,2.752,4737864,1738410,6476274
2016-04-01,8.179333333333334,0.0,0.0,0.29,0.0,,62.8,70.76666666666667,56.3,,40.75,2.829,4582178,1723711,6305889
2016-05-01,8.14,0.0,0.0,0.5900000000000001,0.0,,61.774193548387096,67.80645161290323,57.74193548387097,,46.71,2.843,4913801,1870200,6784001
2016-06-01,7.874,0.0,0.0,0.0,0.0,,66.16666666666667,73.16666666666667,61.3,,48.76,2.937,5409354,2089810,7499164
2016-07-01,8.27,0.0,0.0,0.0,0.0,,70.58064516129032,77.41935483870968,65.87096774193549,,44.65,2.906,5579257,2309730,7888987
2016-08-01,8.348709677419356,0.0,0.0,0.0,0.0,,69.45161290322581,76.09677419354838,65.03225806451613,,44.72,2.693,5355186,2239824,7595010
2016-09-01,7.785,0.0,0.0,0.01,0.0,,70.26666666666667,77.73333333333333,64.43333333333334,,45.18,2.782,4681347,1921766,6603113
2016-10-01,7.115161290322581,0.0,0.0,0.36,0.0,,67.3225806451613,75.54838709677419,60.96774193548387,,49.78,2.869,4932982,1932272,6865254
2016-11-01,6.165333333333334,0.0,0.0,1.11,0.0,,63.96666666666667,74.5,55.13333333333333,,45.66,2.802,4732890,1763228,6496118
2016-12-01,6.999354838709677,0.0,0.0,2.78,0.0,,57.87096774193548,65.80645161290323,50.483870967741936,,51.97,2.741,4862777,2009484,6872261
